Age,Nobs,Event,Genotype,Exposure
1093.95,1.00,1,Dsk81_W,W_Tra
1152.81,1.00,1,Dsk81_W,W_Tra
1199.27,0.00,1,Dsk81_W,W_Tra
1260.38,1.00,1,Dsk81_W,W_Tra
1321.86,1.00,1,Dsk81_W,W_Tra
1370.35,2.00,1,Dsk81_W,W_Tra
1430.59,0.00,1,Dsk81_W,W_Tra
1491.36,5.00,1,Dsk81_W,W_Tra
1538.84,2.00,1,Dsk81_W,W_Tra
1598.38,16.00,1,Dsk81_W,W_Tra
1658.61,10.00,1,Dsk81_W,W_Tra
1706.63,7.00,1,Dsk81_W,W_Tra
1767.34,2.00,1,Dsk81_W,W_Tra
1824.96,3.00,1,Dsk81_W,W_Tra
1872.28,0.00,1,Dsk81_W,W_Tra
1931.41,3.00,1,Dsk81_W,W_Tra
1990.17,3.00,1,Dsk81_W,W_Tra
2040.89,0.00,1,Dsk81_W,W_Tra
26.00,0.00,0,Dsk81_W,W_Tra
213.77,0.00,0,Dsk81_Chri,OK_Tra
283.15,0.00,0,Dsk81_Chri,OK_Tra
333.77,0.00,0,Dsk81_Chri,OK_Tra
386.51,0.00,0,Dsk81_Chri,OK_Tra
459.11,0.00,0,Dsk81_Chri,OK_Tra
506.05,0.00,0,Dsk81_Chri,OK_Tra
554.85,0.00,0,Dsk81_Chri,OK_Tra
627.69,0.00,0,Dsk81_Chri,OK_Tra
674.00,0.00,0,Dsk81_Chri,OK_Tra
722.56,0.00,0,Dsk81_Chri,OK_Tra
796.66,0.00,0,Dsk81_Chri,OK_Tra
839.71,0.00,0,Dsk81_Chri,OK_Tra
889.83,0.00,0,Dsk81_Chri,OK_Tra
963.25,0.00,0,Dsk81_Chri,OK_Tra
1009.83,0.00,0,Dsk81_Chri,OK_Tra
1057.51,0.00,0,Dsk81_Chri,OK_Tra
1130.39,0.00,0,Dsk81_Chri,OK_Tra
1175.23,0.00,0,Dsk81_Chri,OK_Tra
1223.31,0.00,0,Dsk81_Chri,OK_Tra
1297.46,0.00,0,Dsk81_Chri,OK_Tra
1346.26,0.00,0,Dsk81_Chri,OK_Tra
1394.43,0.00,0,Dsk81_Chri,OK_Tra
1466.75,0.00,0,Dsk81_Chri,OK_Tra
1515.97,0.00,0,Dsk81_Chri,OK_Tra
1561.70,0.00,0,Dsk81_Chri,OK_Tra
1635.06,0.00,0,Dsk81_Chri,OK_Tra
1682.16,0.00,0,Dsk81_Chri,OK_Tra
1731.10,0.00,0,Dsk81_Chri,OK_Tra
1803.59,0.00,0,Dsk81_Chri,OK_Tra
1846.33,0.00,0,Dsk81_Chri,OK_Tra
1898.22,0.00,0,Dsk81_Chri,OK_Tra
1964.60,0.00,0,Dsk81_Chri,OK_Tra
2015.75,0.00,0,Dsk81_Chri,OK_Tra
26.00,0.00,0,Dsk81_Chri,W_Tra
213.77,0.00,0,Dsk81_Chri,W_Tra
283.15,0.00,0,Dsk81_Chri,W_Tra
333.77,0.00,0,Dsk81_Chri,W_Tra
386.51,0.00,0,Dsk81_Chri,W_Tra
459.11,0.00,0,Dsk81_Chri,W_Tra
506.05,0.00,0,Dsk81_Chri,W_Tra
554.85,0.00,0,Dsk81_Chri,W_Tra
627.69,0.00,0,Dsk81_Chri,W_Tra
674.00,0.00,0,Dsk81_Chri,W_Tra
722.56,0.00,0,Dsk81_Chri,W_Tra
796.66,0.00,0,Dsk81_Chri,W_Tra
839.71,0.00,0,Dsk81_Chri,W_Tra
889.83,0.00,0,Dsk81_Chri,W_Tra
963.25,0.00,0,Dsk81_Chri,W_Tra
1009.83,0.00,0,Dsk81_Chri,W_Tra
1057.51,0.00,0,Dsk81_Chri,W_Tra
1130.39,0.00,0,Dsk81_Chri,W_Tra
1175.23,0.00,0,Dsk81_Chri,W_Tra
1223.31,0.00,0,Dsk81_Chri,W_Tra
1297.46,0.00,0,Dsk81_Chri,W_Tra
1346.26,0.00,0,Dsk81_Chri,W_Tra
1394.43,0.00,0,Dsk81_Chri,W_Tra
1466.75,0.00,0,Dsk81_Chri,W_Tra
1515.97,0.00,0,Dsk81_Chri,W_Tra
1561.70,0.00,0,Dsk81_Chri,W_Tra
1635.06,0.00,0,Dsk81_Chri,W_Tra
1682.16,0.00,0,Dsk81_Chri,W_Tra
1731.10,0.00,0,Dsk81_Chri,W_Tra
1803.59,0.00,0,Dsk81_Chri,W_Tra
1846.33,0.00,0,Dsk81_Chri,W_Tra
1898.22,0.00,0,Dsk81_Chri,W_Tra
1964.60,0.00,0,Dsk81_Chri,W_Tra
2015.75,0.00,0,Dsk81_Chri,W_Tra
2066.04,0.00,0,Dsk81_Chri,W_Tra
2139.17,0.00,0,Dsk81_Chri,W_Tra
2183.64,0.00,0,Dsk81_Chri,W_Tra
2302.22,0.00,0,Dsk81_Chri,W_Tra
2350.22,0.00,0,Dsk81_Chri,W_Tra
26.00,0.00,0,Dsk81_W,OK_Tra
213.77,0.00,0,Dsk81_W,OK_Tra
283.15,0.00,0,Dsk81_W,OK_Tra
333.77,0.00,0,Dsk81_W,OK_Tra
386.51,0.00,0,Dsk81_W,OK_Tra
459.11,0.00,0,Dsk81_W,OK_Tra
506.05,0.00,0,Dsk81_W,OK_Tra
554.85,0.00,0,Dsk81_W,OK_Tra
627.69,0.00,0,Dsk81_W,OK_Tra
674.00,0.00,0,Dsk81_W,OK_Tra
722.56,0.00,0,Dsk81_W,OK_Tra
796.66,0.00,0,Dsk81_W,OK_Tra
839.71,0.00,0,Dsk81_W,OK_Tra
889.83,0.00,0,Dsk81_W,OK_Tra
963.25,0.00,0,Dsk81_W,OK_Tra
1009.83,0.00,0,Dsk81_W,OK_Tra
1057.51,0.00,0,Dsk81_W,OK_Tra
1130.39,0.00,0,Dsk81_W,OK_Tra
1175.23,0.00,0,Dsk81_W,OK_Tra
1223.31,0.00,0,Dsk81_W,OK_Tra
1297.46,0.00,0,Dsk81_W,OK_Tra
1346.26,0.00,0,Dsk81_W,OK_Tra
1394.43,0.00,0,Dsk81_W,OK_Tra
1466.75,0.00,0,Dsk81_W,OK_Tra
1515.97,0.00,0,Dsk81_W,OK_Tra
1561.70,0.00,0,Dsk81_W,OK_Tra
1635.06,0.00,0,Dsk81_W,OK_Tra
1682.16,0.00,0,Dsk81_W,OK_Tra
1731.10,0.00,0,Dsk81_W,OK_Tra
1803.59,0.00,0,Dsk81_W,OK_Tra
1846.33,0.00,0,Dsk81_W,OK_Tra
26.00,0.00,0,Dsk81_W,W_Tra
213.77,0.00,0,Dsk81_W,W_Tra
283.15,0.00,0,Dsk81_W,W_Tra
333.77,0.00,0,Dsk81_W,W_Tra
386.51,0.00,0,Dsk81_W,W_Tra
459.11,0.00,0,Dsk81_W,W_Tra
506.05,0.00,0,Dsk81_W,W_Tra
554.85,0.00,0,Dsk81_W,W_Tra
627.69,0.00,0,Dsk81_W,W_Tra
674.00,0.00,0,Dsk81_W,W_Tra
722.56,0.00,0,Dsk81_W,W_Tra
796.66,0.00,0,Dsk81_W,W_Tra
839.71,0.00,0,Dsk81_W,W_Tra
889.83,0.00,0,Dsk81_W,W_Tra
963.25,0.00,0,Dsk81_W,W_Tra
1009.83,0.00,0,Dsk81_W,W_Tra
1057.51,0.00,0,Dsk81_W,W_Tra
1130.39,0.00,0,Dsk81_W,W_Tra
1175.23,0.00,0,Dsk81_W,W_Tra
1223.31,0.00,0,Dsk81_W,W_Tra
1297.46,0.00,0,Dsk81_W,W_Tra
1346.26,0.00,0,Dsk81_W,W_Tra
1394.43,0.00,0,Dsk81_W,W_Tra
1466.75,0.00,0,Dsk81_W,W_Tra
1515.97,0.00,0,Dsk81_W,W_Tra
1561.70,0.00,0,Dsk81_W,W_Tra
1635.06,0.00,0,Dsk81_W,W_Tra
1682.16,0.00,0,Dsk81_W,W_Tra
1731.10,0.00,0,Dsk81_W,W_Tra
1803.59,0.00,0,Dsk81_W,W_Tra
1846.33,0.00,0,Dsk81_W,W_Tra
1898.22,0.00,0,Dsk81_W,W_Tra
1964.60,0.00,0,Dsk81_W,W_Tra
2015.75,0.00,0,Dsk81_W,W_Tra
2066.04,0.00,0,Dsk81_W,W_Tra
